Year,Conflict 1,Conflict 2,Conflict 3,Conflict 4
1945,Greek Civil War,Palestine,War in Vietnam,Indonesian Revolution
1946,Greek Civil War,Palestine,War in Vietnam,Indonesian Revolution
1947,Greek Civil War,Palestine,,
1948,Malayan Emergency,Palestine,,
1949,Malayan Emergency,,,
1950,Malayan Emergency,Korean War,,
1951,Malayan Emergency,Korean War,Anglo-Egyptian War,
1952,Malayan Emergency,Korean War,Anglo-Egyptian War,Mau Mau Insurgency
1953,Malayan Emergency,Korean War,,Mau Mau Insurgency
1954,Malayan Emergency,,,Mau Mau Insurgency
1955,Malayan Emergency,Cyprus Emergency,,Mau Mau Insurgency
1956,Malayan Emergency,Cyprus Emergency,Suez/Sinai War,Mau Mau Insurgency
1957,Malayan Emergency,Cyprus Emergency,Muscat and Oman Intervention,
1958,Malayan Emergency,Cyprus Emergency,Muscat and Oman Intervention,Jordan Intervention 
1959,Malayan Emergency,Cyprus Emergency,Muscat and Oman Intervention,
1960,Malayan Emergency,,,
1961,,,,
1962,,Brunei Revolt,Dhofar Rebellion,
1963,Malaysia-Indonesia Confrontation,,Dhofar Rebellion,
1964,Malaysia-Indonesia Confrontation,Ugandan Army Mutiny,Dhofar Rebellion,Aden Conflict
1965,Malaysia-Indonesia Confrontation,,Dhofar Rebellion,Aden Conflict
1966,Malaysia-Indonesia Confrontation,,Dhofar Rebellion,Aden Conflict
1967,,,Dhofar Rebellion,Aden Conflict
1968,,,Dhofar Rebellion,
1969,The Conflict in Northern Ireland,,Dhofar Rebellion,
1970,The Conflict in Northern Ireland,,Dhofar Rebellion,
1971,The Conflict in Northern Ireland,,Dhofar Rebellion,
1972,The Conflict in Northern Ireland,,Dhofar Rebellion,
1973,The Conflict in Northern Ireland,,Dhofar Rebellion,
1974,The Conflict in Northern Ireland,,Dhofar Rebellion,
1975,The Conflict in Northern Ireland,,Dhofar Rebellion,
1976,The Conflict in Northern Ireland,,Dhofar Rebellion,
1977,The Conflict in Northern Ireland,,,
1978,The Conflict in Northern Ireland,,,
1979,The Conflict in Northern Ireland,,,
1980,The Conflict in Northern Ireland,,,
1981,The Conflict in Northern Ireland,,,
1982,The Conflict in Northern Ireland,Falkland Islands War,,
1983,The Conflict in Northern Ireland,,,
1984,The Conflict in Northern Ireland,,,
1985,The Conflict in Northern Ireland,,,
1986,The Conflict in Northern Ireland,,,
1987,The Conflict in Northern Ireland,,,
1988,The Conflict in Northern Ireland,,,
1989,The Conflict in Northern Ireland,,,
1990,The Conflict in Northern Ireland,,,
1991,The Conflict in Northern Ireland,Gulf War,No-Fly Zone War Iraq,
1992,The Conflict in Northern Ireland,Bosnian War,No-Fly Zone War Iraq,
1993,The Conflict in Northern Ireland,Bosnian War,No-Fly Zone War Iraq,
1994,The Conflict in Northern Ireland,Bosnian War,No-Fly Zone War Iraq,
1995,The Conflict in Northern Ireland,Bosnian War,No-Fly Zone War Iraq,
1996,The Conflict in Northern Ireland,Bosnian War,No-Fly Zone War Iraq,
1997,The Conflict in Northern Ireland,,No-Fly Zone War Iraq,
1998,The Conflict in Northern Ireland,,No-Fly Zone War Iraq,
1999,Kosovo War,,No-Fly Zone War Iraq,
2000,Sierra Leone Civil War,,No-Fly Zone War Iraq,
2001,Sierra Leone Civil War,Afghanistan War,No-Fly Zone War Iraq,
2002,Sierra Leone Civil War,Afghanistan War,No-Fly Zone War Iraq,
2003,Iraq War,Afghanistan War,No-Fly Zone War Iraq,
2004,Iraq War,Afghanistan War,,
2005,Iraq War,Afghanistan War,,
2006,Iraq War,Afghanistan War,,
2007,Iraq War,Afghanistan War,,
2008,Iraq War,Afghanistan War,,
2009,Iraq War,Afghanistan War,Somali Civil War,
2010,,Afghanistan War,Somali Civil War,
2011,Libyan War,Afghanistan War,Somali Civil War,
2012,,Afghanistan War,Somali Civil War,
2013,,Afghanistan War,Somali Civil War,
2014,,Afghanistan War,Somali Civil War,
2015,,,Somali Civil War,
2016,,,Somali Civil War,
2017,,,Somali Civil War,
2018,,,Somali Civil War,
2019,,,Somali Civil War,
2020,,,Somali Civil War,
2021,,,Somali Civil War,
2022,,,Somali Civil War,
2023,,,Somali Civil War,
2024,,,Somali Civil War,
2025,,,Somali Civil War,
2026,,,Somali Civil War,
2027,,,,