Name,Latitude,Longitude
1st Airborne Reconnaissance Squadron Memorial ; Freddie Gough Squadron.HEIC,52.728661111111116,-1.729988888888889
216 Squadron RAF.HEIC,52.72806111111111,-1.7284222222222223
3 (F) Squadron Association.HEIC,52.72833333333333,-1.727513888888889
36th Ulster Division.HEIC,52.73201666666667,-1.7192194444444446
41 Club Memorial.HEIC,52.729350000000004,-1.7266000000000001
"45 Commando, 'Baker' Troop.HEIC",52.72959166666667,-1.7304666666666668
Aguila Memorial (WRNS) (Wrens).HEIC,52.72978333333334,-1.7270277777777778
Aircrew Association Memorial.HEIC,52.72824166666667,-1.7279916666666668
Allied Special Forces Association Sun Room.HEIC,52.73186944444445,-1.7215916666666669
Amalanchier Walk.HEIC,52.731500000000004,-1.7272666666666667
Arctic Convoys Memorial;Russian Convoys.HEIC,52.73014722222222,-1.7278416666666667
Arethusa Old Boys Association.HEIC,52.72983055555556,-1.7281583333333335
Army Commandos Memorial.HEIC,52.72931388888889,-1.7307055555555557
Auxiliary Territorial Service  Ack Ack Memorial.HEIC,52.72921111111111,-1.7322833333333334
Baluch Regiment Memorial.HEIC,52.730244444444445,-1.7319861111111112
Battle of the River Plate Memorial.HEIC,52.72859444444445,-1.728777777777778
Bevin Boys Memorial.HEIC,52.728011111111115,-1.7296111111111112
BLESMA -  The Limbless Veteran's Orchard..HEIC,52.729847222222226,-1.7312305555555556
BLESMA -  The Limbless Veteran's Orchard..HEIC.HEIC,52.72989166666667,-1.7316972222222224
Brigade of Gurkhas Memorial.HEIC,52.73017777777778,-1.7323333333333335
British Korean Veterans Association (BKVA).HEIC,52.729572222222224,-1.7322333333333335
British Limbless Ex-Service Men's Association  (BLESMA). The Limbless Veteran's Garden..HEIC,52.72869166666667,-1.7309333333333334
British Nuclear Test Veterans Memorial (BNTV).HEIC,52.72942777777778,-1.7308861111111111
British South Africa Police Memorial.HEIC,52.72986111111111,-1.7318500000000001
Burma Railway Memorial.HEIC,52.72884722222222,-1.7330722222222223
Burma Star Memorial.HEIC,52.72841666666667,-1.733313888888889
Captain Class Frigates Memorial.HEIC,52.729,-1.7283805555555556
Captain Sir Tom Moore Way.HEIC,52.72989722222223,-1.7320583333333335
"Cardiac Risk in the Young, Dawn, Dusk.HEIC",52.72998333333334,-1.7254333333333334
Castle Class Corvettes Memorial.HEIC,52.72886666666667,-1.7283916666666668
Changi Lych Gate.HEIC,52.72931944444445,-1.7324555555555556
Changi Prison Map.HEIC,52.72920277777778,-1.732563888888889
Cheltenham College Memorial.HEIC,52.728875,-1.7265166666666667
Cheshire Yeomanry.HEIC,52.72886666666667,-1.7303527777777779
Chindit Memorial.HEIC,52.72821388888889,-1.7332
Christmas Truce Memorial and Shelter ; Football Remembers.HEIC,52.732108333333336,-1.7191472222222224
Civil Defence George Cross Awards.HEIC,52.72939166666667,-1.7318583333333335
Civil Defence.HEIC,52.72949722222222,-1.7319111111111112
"Clan, Houston, Scottish Shire, Bullard and King Line Steamers Memorial.HEIC",52.72973888888889,-1.7284194444444445
Cockleshell Heroes Memorial.HEIC,52.731880555555556,-1.7215333333333334
Cold War 1949-1968 Memorial.HEIC,52.729508333333335,-1.731475
Combined Operations Memorial.HEIC,52.73106388888889,-1.7230472222222224
Defensively Equipped Merchant Ships (DEMS) Memorial.HEIC,52.729480555555554,-1.728913888888889
Desert Rats Association.HEIC,52.730975,-1.7294972222222222
Duke of York's Military School.HEIC,52.72855833333333,-1.7264944444444446
Edward's Trust Garden.HEIC,52.72969166666667,-1.7254833333333335
Escape Lines Memorial ; Home Run.HEIC,52.73127777777778,-1.7228527777777778
Ex-National Servicemen's Memorial.HEIC,52.72763888888889,-1.7303222222222223
Falkland Island Resistance.HEIC,52.73175555555556,-1.7207416666666668
Far East Air Force Memorial.HEIC,52.729755555555556,-1.731213888888889
Far East Prisoners of War Grove.HEIC,52.729350000000004,-1.7326194444444445
Far East Prisoners of War Memorial Building.HEIC,52.729105555555556,-1.73265
Fauld Explosion Memorial.HEIC,52.728388888888894,-1.7305944444444445
Fellowship of the Services Memorial.HEIC,52.73023333333334,-1.7249305555555556
Fire and Rescue Services Memorial.HEIC,52.72938611111111,-1.7316500000000001
Fleet Air Arm British Pacific and East Indies Fleets Aircrew Memorial.HEIC,52.729508333333335,-1.7300722222222222
Fleet Air Arm Memorial (FLY Navy Federation).HEIC,52.72956388888889,-1.7298805555555556
Foresters Friendly Society Memorial.HEIC,52.73184166666667,-1.7193416666666668
Free Spirit Horse Memorial.HEIC,52.73106388888889,-1.7232
General Post Office Memorial Garden (GPO).HEIC,52.72833611111111,-1.7301666666666669
Gift of Life Memorial ; Donor Family Network.HEIC,52.72969166666667,-1.726188888888889
Girls Venture Corps Memorial.HEIC,52.72865,-1.72675
Glider Pilot Regiment Memorial.HEIC,52.72880833333333,-1.7298944444444446
Guinea Pig Club Memorial.HEIC,52.729105555555556,-1.7274611111111113
Gulf War 1990-1991 Memorial.HEIC,52.73132777777778,-1.7297694444444445
"HM Ships Glorious, Acasta and Ardent Memorial.HEIC",52.72918333333334,-1.728188888888889
HMS Ardent Memorial.HEIC,52.72854166666667,-1.729363888888889
HMS Argonaut Memorial.HEIC,52.72871666666667,-1.728577777777778
HMS Barham Memorial.HEIC,52.72963611111111,-1.7275722222222223
HMS Bruce Memorial.HEIC,52.72989722222223,-1.7281388888888891
"HMS Bulwark, Albion and Centaur Memorial.HEIC",52.72951388888889,-1.7276111111111112
HMS Charybdis & HMS Limbourne.HEIC,52.729080555555555,-1.7280833333333334
HMS Dunedin Memorial.HEIC,52.7289,-1.729652777777778
HMS Formidable Memorial.HEIC,52.729258333333334,-1.728202777777778
HMS Gambia Memorial.HEIC,52.72913333333334,-1.7282750000000002
HMS Ganges Memorial.HEIC,52.729886111111114,-1.7281194444444445
HMS Glory Memorial.HEIC,52.72935555555556,-1.72785
HMS Hood Memorial.HEIC,52.72934444444444,-1.728438888888889
HMS Kenya Memorial.HEIC,52.72945833333333,-1.7277805555555557
HMS Neptune and Kandahar Memorial.HEIC,52.728855555555555,-1.7285527777777778
HMS Prince of Wales and HMS Repulse Memorial.HEIC,52.72969722222222,-1.7278416666666667
HMS Royal Arthur Memorial.HEIC,52.72913333333334,-1.728413888888889
HMS Sheffield Memorial The Shiny Shef.HEIC,52.72855,-1.7288527777777778
HMT Lancastria Memorial.HEIC,52.73008333333333,-1.7286944444444445
Home Front Memorial.HEIC,52.729644444444446,-1.7265805555555556
Hong Kong Volunteer Defence Corps Memorial.HEIC,52.72878333333333,-1.7329416666666668
Hunt Class Destroyers Memorial.HEIC,52.72909444444445,-1.72825
Inner Wheel Grove.HEIC,52.72895555555556,-1.7311722222222223
Japanese Hell Ships Memorial.HEIC,52.72904722222222,-1.732563888888889
Kenya Police Memorial.HEIC,52.72977777777778,-1.7318416666666667
Kohima Tennis Court.HEIC,52.729058333333334,-1.7332805555555557
Leyton Orient Somme.HEIC,52.73218888888889,-1.7191361111111112
Lichfield and District Garden.HEIC,52.72795,-1.7299111111111112
Lions Club International Shelter.HEIC,52.730775,-1.7293083333333334
Lisbon Maru.HEIC,52.72951944444445,-1.7325194444444445
Loch Class Frigates Memorial.HEIC,52.72918611111111,-1.7278583333333335
LST and Landing Craft Memorial.HEIC,52.728969444444445,-1.7297416666666667
Malaya and Borneo Veterans Memorial.HEIC,52.73032777777778,-1.7321833333333334
Malayan Volunteer Force Memorial.HEIC,52.730358333333335,-1.7320777777777778
Memorial Rose Garden.HEIC,52.72815277777778,-1.730863888888889
Merchant Navy Association Memorial.HEIC,52.72956111111111,-1.7294222222222224
Merchant Navy Convoy Wood.HEIC,52.72934444444444,-1.728802777777778
Mesothelioma UK.HEIC,52.73144166666667,-1.7247222222222223
Military Medallists' Memorial.HEIC,52.72924166666667,-1.7267916666666667
Millenium Shelter.HEIC,52.729533333333336,-1.726802777777778
Moussey Memorial.HEIC,52.73159722222223,-1.722302777777778
"NAAFI ; Navy, Army and Air Force Institutes.HEIC",52.73098888888889,-1.723538888888889
National Ex-Prisoner of War Memorial.HEIC,52.72966111111111,-1.7267416666666668
National Miners' Memorial.HEIC,52.72895833333334,-1.731477777777778
National Voluntary Civil Aid.HEIC,52.72972777777778,-1.731763888888889
Naval Service Memorial.HEIC,52.729172222222225,-1.7289861111111113
Neutral Irish Registered Vessels Memorial.HEIC,52.72959166666667,-1.7286555555555556
Nigeria Police.HEIC,52.72987777777778,-1.7319777777777778
No 101 Squadron RAF.HEIC,52.72815,-1.7283833333333334
"No 2 Squadron RAF Memorial ; No II (AC) Squadron RAF, Shiny Two.HEIC",52.728500000000004,-1.7278944444444446
No 47 Squadron RAF Memorial.HEIC,52.73128888888889,-1.7225861111111112
No 49 Squadron Memorial.HEIC,52.72816111111111,-1.7267444444444446
No IX Squadron RAF.HEIC,52.72826666666667,-1.7275555555555557
No. 30 Squadron Association Memorial.HEIC,52.728205555555554,-1.7282555555555557
No. 8 Group Path Finder Force.HEIC,52.728183333333334,-1.7268861111111111
Northern Ireland Prison Service Memorial.HEIC,52.729958333333336,-1.7270805555555557
Nyasaland Police Memorial.HEIC,52.730044444444445,-1.7316638888888891
Ocean Fairway Blue Funnel Line Memorial.HEIC,52.73019722222222,-1.7290666666666668
Oddfellows.HEIC,52.728794444444446,-1.7266861111111111
Operation Market Garden  Market Garden Veterans' Association Memorial.HEIC,52.728347222222226,-1.7294083333333334
Orange Institution Memorial.HEIC,52.730805555555555,-1.7241111111111111
Pegasus Bridge Memorial.HEIC,52.73168611111111,-1.7195666666666667
Pity of War.HEIC,52.73177777777778,-1.7264972222222223
Police Service Northern Ireland (PSNI) Memorial.HEIC,52.72958888888889,-1.726402777777778
Poppy Memorial ; 'RBL Never Forget Tribute Garden'.HEIC,52.72938888888889,-1.727291666666667
Popski's Private Army.HEIC,52.73180277777778,-1.7219611111111113
Posted - Service Children's Education Memorial.HEIC,52.73004166666667,-1.7254055555555556
Princess Mary's RAF Nursing Service (PMRAFNS) Memorial.HEIC,52.72849166666667,-1.728175
Prison Officers Association (POA).HEIC,52.73096944444445,-1.7261222222222223
Quaker Services Memorial.HEIC,52.73158333333333,-1.7267472222222224
Queen Alexandra's Royal Navy Nursing Service and the Voluntary Aid Detachment Memorial (QARNNS).HEIC,52.73015277777778,-1.727775
RAF 214 Squadron Memorial.HEIC,52.72853333333334,-1.7279611111111113
RAF Administrative Apprentices Memorial.HEIC,52.728661111111116,-1.726777777777778
RAF Air Loadmasters' Association Memorial.HEIC,52.72831388888889,-1.727338888888889
RAF Armourers.HEIC,52.72853333333334,-1.7275166666666668
RAF Barrage Balloons Memorial.HEIC,52.72825277777778,-1.727313888888889
RAF Benevolent Fund Memorial.HEIC,52.72928888888889,-1.7271
RAF Bomb Disposal.HEIC,52.728519444444444,-1.7274833333333335
RAF Fire and Rescue Service.HEIC,52.72846666666667,-1.7278333333333336
RAF Flight and Air Engineers Memorial.HEIC,52.72830555555556,-1.7274444444444446
RAF Locking Memorial.HEIC,52.72873611111111,-1.7267944444444445
RAF Medical Services Memorial.HEIC,52.7286,-1.7281361111111113
"RAF Mountain Rescue Service (MRS), The.HEIC",52.728611111111114,-1.7281833333333334
RAF No. 31 Squadron Memorial.HEIC,52.72825277777778,-1.7275611111111113
RAF Physical Training Instructors.HEIC,52.72832777777778,-1.7283333333333335
RAF Search and Rescue Memorial.HEIC,52.72860277777778,-1.7281527777777779
Rail Industry Memorial.HEIC,52.72854166666667,-1.7264694444444446
Remembrance Glade.HEIC,52.73179722222223,-1.724477777777778
Rhodesian African Rifles and Rhodesia Native Regiment Memorial.HEIC,52.73014444444445,-1.7316777777777779
Rhodesian Air Force Memorial.HEIC,52.729775000000004,-1.7313444444444446
Roadpeace Wood.HEIC,52.73108611111111,-1.7238194444444446
Robert Flockhart Memorial.HEIC,52.73140277777778,-1.7302444444444445
Rotary International and Rotary  Ridge.HEIC,52.729038888888894,-1.733313888888889
Royal Air Force 90 Squadron.HEIC,52.72805,-1.7285944444444445
Royal Air Force Boy Entrants Memorial.HEIC,52.72848611111111,-1.7268972222222223
Royal Air Force Cranwell Apprentices Memorial.HEIC,52.72829166666667,-1.726602777777778
Royal Air Force Dental Branch.HEIC,52.72844722222222,-1.7282000000000002
Royal Air Force Halton Apprentices Memorial Garden.HEIC,52.72856111111111,-1.730577777777778
Royal Air Force Police Memorial.HEIC,52.72842777777778,-1.727788888888889
Royal Air Force Regiment Memorial.HEIC,52.729105555555556,-1.7319000000000002
Royal Air Force Servicing Commando and Tactical Supply Wing Association Memorial.HEIC,52.728430555555555,-1.727613888888889
Royal Air Forces Association Remembrance Garden (RAFA).HEIC,52.72864166666667,-1.7279027777777778
Royal and Sun Alliance Memorials.HEIC,52.73169444444444,-1.719088888888889
Royal Army Chaplains Memorial.HEIC,52.730975,-1.7234055555555556
Royal Artillery Garden.HEIC,52.72876111111111,-1.7311416666666668
Royal Australian Air Force Memorial.HEIC,52.72826388888889,-1.728863888888889
Royal Auxiliary Air Force Memorial.HEIC,52.72816388888889,-1.7266694444444446
Royal Canadian Air Force Memorial.HEIC,52.72815,-1.7267194444444445
Royal Fleet Auxiliary Memorial.HEIC,52.72998888888889,-1.7278555555555557
Royal Fleet Auxiliary Ship 'Sir Percivale' Anchor.HEIC,52.73031944444445,-1.7289750000000002
Royal Hong Kong Police Memorial.HEIC,52.72988055555556,-1.7318972222222224
Royal Indian Navy and Indian Army Memorial.HEIC,52.72982777777778,-1.731352777777778
Royal Malaysia Police Memorial.HEIC,52.730275,-1.7320111111111112
Royal Marines Association.HEIC,52.729600000000005,-1.7305055555555557
Royal National Lifeboat Institution (RNLI).HEIC,52.729061111111115,-1.7263972222222224
Royal Naval Medical Services Memorial.HEIC,52.73003333333334,-1.7274361111111112
"Royal Naval Patrol Service Memorial ; 'HMS Europa, (RNPS)'.HEIC",52.72951388888889,-1.727288888888889
Royal Navy Artificers Memorial.HEIC,52.72918333333334,-1.7292611111111111
Royal Navy Coastal Forces Memorial.HEIC,52.72902777777778,-1.7301833333333334
"Royal Norfolk Regiment, Suffolk Regiment and Cambridgeshire Regiment Memorial ; Anglian Regiment.HEIC",52.728683333333336,-1.7334333333333334
Royal Norwegian Navy.HEIC,52.72966111111111,-1.7306166666666667
Royal Observer Corps Seaborne Wing.HEIC,52.72907222222222,-1.7273972222222223
Royal Observer Corps.HEIC,52.72909166666667,-1.7273222222222224
Royal Ulster Constabulary George Cross Way (RUC GC Way).HEIC,52.73053055555556,-1.7255222222222224
Salvation Army Memorial.HEIC,52.73091111111111,-1.723575
Scouting Memorial.HEIC,52.73085833333334,-1.7259694444444447
Shackleton Association Memorial.HEIC,52.728675,-1.726563888888889
"Shaw, Saville and Albion Ltd Memorial.HEIC",52.729625,-1.7285722222222224
Sherwood Rangers Yeomanry Memorial.HEIC,52.729675,-1.7314583333333335
Shropshire Yeomanry Memorial Plinth.HEIC,52.729,-1.7302527777777779
"Soldiers, Sailors, Airmen and Families Association (SSAFA) Memorial.HEIC",52.72887777777778,-1.726525
South Atlantic Medal Association memorial and the Antelope Garden ; 'Falkland Islands Campaign Memorial'.HEIC,52.728255555555556,-1.7291611111111111
Spiritualists' National Union Memorial.HEIC,52.73229166666667,-1.7272083333333335
Staffordshire Yeomanry Memorial.HEIC,52.7291,-1.7303722222222224
Stillbirth and Neonatal Death Charity Memorial (SANDS).HEIC,52.729258333333334,-1.7312222222222224
Submariners Memorial.HEIC,52.72954166666667,-1.729652777777778
Suez Maru Memorial.HEIC,52.729033333333334,-1.732577777777778
Suez Veterans Association.HEIC,52.72949166666667,-1.7323333333333335
Sultan of Oman's Armed Forces Memorial.HEIC,52.72949722222222,-1.7309972222222223
Sumatra Railway Memorial.HEIC,52.72895555555556,-1.732963888888889
The Catenian Association.HEIC,52.73131666666667,-1.724263888888889
The National Memorial To The Evacuation (The British Evacuees Association).HEIC,52.72985833333333,-1.7261166666666667
The Royal Antediluvian Order of Buffaloes Memorial.HEIC,52.72848888888889,-1.7264694444444446
Ton Class Minesweepers Memorial.HEIC,52.72905277777778,-1.7289694444444446
Townswomen's Guild.HEIC,52.731030555555556,-1.723652777777778
"Tree of Cherished Memories, The.HEIC",52.73121944444445,-1.7254972222222222
Trees of Life Glade.HEIC,52.73255277777778,-1.7250444444444446
Trefoil Guild Memorial.HEIC,52.73105555555556,-1.7234777777777779
Trenchard's Legacy.HEIC,52.72864444444445,-1.730538888888889
TS Exmouth Memorial.HEIC,52.729575000000004,-1.7287194444444445
TS Indefatigable Memorial.HEIC,52.72973888888889,-1.7284472222222222
"TS Mercury, HMS Worcester, Conway, SATS General Botha, Nautical College Pangbourne Memorial.HEIC",52.72981666666667,-1.7283083333333336
TS Vindicatrix Memorial.HEIC,52.72980833333334,-1.7283305555555557
Twin Towers Memorial.HEIC,52.72944722222223,-1.7314055555555556
Type 21 Frigates Memorial.HEIC,52.728858333333335,-1.7286194444444445
UK Police Memorial.HEIC,52.73039166666667,-1.725291666666667
Ulster Ash Grove Memorial.HEIC,52.729847222222226,-1.7267722222222224
Ulster Defence Regiment CGC Memorial Seat.HEIC,52.73084722222222,-1.7285277777777779
Ulster Defence Regiment CGC Memorial.HEIC,52.73014722222222,-1.7263416666666669
Ulster Special Constabulary Memorial.HEIC,52.72961388888889,-1.7271055555555557
Union Castle Line Memorial.HEIC,52.729797222222224,-1.728338888888889
United Nations Avenue;UN.HEIC,52.732147222222224,-1.7191472222222224
Vera Atkins - SOE Memorial.HEIC,52.73125833333334,-1.7228833333333335
Victims of Overseas Terrorism.HEIC,52.73158611111111,-1.7273694444444445
Western Front Association Memorial.HEIC,52.73191388888889,-1.7193111111111112
Western Front Grove.HEIC,52.73191111111111,-1.7192861111111113
Women's Auxiliary Air Force Memorial.HEIC,52.72821388888889,-1.7276777777777779
Women's Institute Memorial Seat ; WI Wall.HEIC,52.73093333333333,-1.723838888888889
Women's Land Army and Timber Corps Memorial.HEIC,52.72815833333333,-1.7294416666666668
Women's Royal Air Force ; WRAF.HEIC,52.728119444444445,-1.7283777777777778
Women's Royal Army Corps Memorial ; WRAC.HEIC,52.72925277777778,-1.7322583333333335
Women's Royal Naval Service (WRNS) (Wrens).HEIC,52.72978333333334,-1.7270222222222222
"Women's Section Memorial, The Royal British Legion.HEIC",52.72912222222222,-1.7267722222222224
Wooden Minesweepers Memorial.HEIC,52.72907222222222,-1.7293
Y Services Organisation.HEIC,52.72808888888889,-1.7299416666666667
Yangtze Incident Memorial.HEIC,52.729569444444444,-1.731938888888889
YMCA Memorial.HEIC,52.73068611111111,-1.7237805555555556
